arrival_time,service_start,service_end,service_duration,sample_steps,condition_value,num_in_queue,retry_count,eta,omega,distortion,waiting_time,response_time
3.852869749069214,3.9792072772979736,7.471220016479492,3.485623598098755,70,-440.83173256815263,0,1,11.630588005307434,0.9997695597592772,polydec,0.12633752822875977,3.6183502674102783
7.595279932022095,7.598649740219116,9.21747875213623,1.6186435222625732,70,-393.2392433323936,0,0,11.630588005307434,0.9997695597592772,polydec,0.0033698081970214844,1.6221988201141357
11.415501594543457,11.419372081756592,15.73388934135437,1.5839290618896484,70,-362.7073855744693,0,0,11.630588005307434,0.9997695597592772,polydec,0.0038704872131347656,4.318387746810913
11.864425897598267,12.109036922454834,16.608546018600464,1.5400240421295166,68,-449.8419593897788,2,0,11.234202715665862,0.9997526433222504,polydec,0.24461102485656738,4.744120121002197
12.00359058380127,12.789807558059692,16.792149543762207,1.550678014755249,68,-409.62176185831817,2,0,11.234202715665862,0.9997526433222504,polydec,0.7862169742584229,4.7885589599609375
14.330817222595215,15.736334323883057,18.363895416259766,1.568058729171753,68,-351.66657797029205,2,0,11.234202715665862,0.9997526433222504,polydec,1.4055171012878418,4.033078193664551
16.589701890945435,17.486923456192017,19.264038801193237,1.5911266803741455,69,-408.7161425840718,1,0,10.466918837040186,0.9995272554577864,polydec,0.897221565246582,2.6743369102478027
21.58971905708313,21.59378671646118,25.936712741851807,1.5879065990447998,70,-390.38006960975184,0,0,11.630588005307434,0.9997695597592772,polydec,0.004067659378051758,4.346993684768677
21.71742272377014,22.276434183120728,26.14458656311035,1.5846836566925049,69,-369.21162733485244,1,0,10.466918837040186,0.9995272554577864,polydec,0.5590114593505859,4.42716383934021
23.394295692443848,24.337156295776367,28.361616134643555,1.516268014907837,67,-447.7852287616461,3,0,11.400688707481295,0.9998874305408112,polydec,0.9428606033325195,4.967320442199707
23.50780963897705,25.016775608062744,29.888757944107056,1.5520753860473633,67,-399.17831972763923,3,0,11.400688707481295,0.9998874305408112,polydec,1.5089659690856934,6.380948305130005
25.25263524055481,26.826956033706665,30.77096128463745,1.5446772575378418,68,-393.96221994891215,2,0,11.234202715665862,0.9997526433222504,polydec,1.5743207931518555,5.518326044082642
28.026220083236694,29.04581069946289,34.38544535636902,1.5214672088623047,67,-457.69581105239376,3,0,11.400688707481295,0.9998874305408112,polydec,1.0195906162261963,6.359225273132324
28.64662528038025,29.891070127487183,35.26673197746277,1.5728440284729004,68,-382.838056121784,2,0,11.234202715665862,0.9997526433222504,polydec,1.2444448471069336,6.6201066970825195
30.61978578567505,32.14809536933899,40.22370719909668,1.4976212978363037,65,-378.7317327409219,5,0,11.05569627988648,0.9996136311679544,polydec,1.5283095836639404,9.60392141342163
30.866723775863647,32.841264963150024,41.72962498664856,1.4970817565917969,65,-455.3883887950442,5,0,11.05569627988648,0.9996136311679544,polydec,1.974541187286377,10.862901210784912
31.01407241821289,33.53463554382324,42.50775337219238,1.4772720336914062,64,-413.8270327771499,6,0,11.09686261394278,0.9998550989550544,polydec,2.5205631256103516,11.493680953979492
32.96361207962036,35.960307598114014,45.46957325935364,1.4728641510009766,64,-442.2642780391198,6,0,11.09686261394278,0.9998550989550544,polydec,2.9966955184936523,12.505961179733276
33.62562036514282,37.34252715110779,46.231966495513916,1.4370613098144531,63,-399.11528415159347,7,0,12.637630943029931,1.0,polydec,3.716906785964966,12.606346130371094
35.62384605407715,39.41699194908142,50.392988443374634,1.4321563243865967,62,-454.65804583979593,8,0,11.156157194041995,1.0,polydec,3.7931458950042725,14.769142389297485
40.8928747177124,43.99160408973694,51.06167650222778,1.3577449321746826,59,-401.2458011164849,11,0,12.746959288601222,0.991137821621192,polydec,3.098729372024536,10.16880178451538
35.982561111450195,40.22601008415222,51.82419180870056,1.4630722999572754,63,-391.0801122609921,7,0,12.637630943029931,1.0,polydec,4.243448972702026,15.841630697250366
41.94388008117676,45.472333669662476,53.187838315963745,1.3594014644622803,59,-439.4560354751249,11,0,12.746959288601222,0.991137821621192,polydec,3.5284535884857178,11.243958234786987
42.61248540878296,46.23415017127991,53.85750675201416,1.3592538833618164,59,-379.3897933529638,11,0,12.746959288601222,0.991137821621192,polydec,3.6216647624969482,11.245021343231201
38.926900148391724,42.5099732875824,54.60967302322388,1.4503979682922363,63,-413.11468971754044,7,0,12.637630943029931,1.0,polydec,3.583073139190674,15.682772874832153
43.46325492858887,48.97309708595276,57.93203854560852,1.2921743392944336,57,-414.234192520459,13,0,12.863440551882883,1.0,polydec,5.509842157363892,14.468783617019653
43.751614809036255,49.65501523017883,59.22434639930725,1.2895104885101318,56,-404.46699024349755,14,0,11.736402946942391,0.997272122136146,polydec,5.903400421142578,15.472731590270996
44.84987235069275,51.063894748687744,61.212706089019775,1.2907450199127197,56,-429.54681337007554,14,0,11.736402946942391,0.997272122136146,polydec,6.214022397994995,16.362833738327026
47.49848747253418,53.86005115509033,64.44822764396667,1.2459332942962646,55,-443.14631298255574,15,0,12.350497276057045,0.9999483833282724,polydec,6.361563682556152,16.949740171432495
31.51959204673767,34.38774633407593,64.54054403305054,2.9438512325286865,64,-447.6813199905189,6,1,11.09686261394278,0.9998550989550544,polydec,2.868154287338257,33.020951986312866
48.633920431137085,55.298482179641724,65.82447552680969,1.2927112579345703,56,-396.1834098163054,14,0,11.736402946942391,0.997272122136146,polydec,6.664561748504639,17.190555095672607
49.754887104034424,57.93433094024658,68.38492560386658,1.2913787364959717,56,-355.1604649231567,14,0,11.736402946942391,0.997272122136146,polydec,8.179443836212158,18.630038499832153
