arrival_time,service_start,service_end,service_duration,sample_steps,condition_value,num_in_queue,retry_count,eta,omega,distortion,waiting_time,response_time
19.392338037490845,31.731058597564697,32.94630002975464,1.2152414321899414,55,-448.37666402566873,18,0,12.350497276057045,0.9999483833282724,polydec,12.338720560073853,13.553961992263794
19.7085702419281,32.94724631309509,34.14839434623718,1.2011480331420898,53,-432.5898319429199,20,0,11.391509738172909,0.9978195669274348,polydec,13.238676071166992,14.439824104309082
20.611428260803223,34.14933395385742,35.3196804523468,1.1703464984893799,52,-397.18920198037875,21,0,13.28545777384937,0.9992495761898088,polydec,13.5379056930542,14.708252191543579
21.026732206344604,35.32065558433533,38.83974099159241,3.51908540725708,52,-396.18473839261156,21,2,13.28545777384937,0.9992495761898088,polydec,14.293923377990723,17.813008785247803
22.274741172790527,38.840667963027954,39.962013959884644,1.1213459968566895,50,-454.78023230597506,24,0,12.018489756149895,0.9998146866119032,polydec,16.565926790237427,17.687272787094116
22.498966932296753,39.96296000480652,41.116963148117065,1.1540031433105469,51,-429.3925372834836,23,0,12.05595062649035,0.999995378739184,polydec,17.463993072509766,18.617996215820312
24.339502096176147,41.11793112754822,42.26290726661682,1.1449761390686035,50,-350.3856394683006,24,0,12.018489756149895,0.9998146866119032,polydec,16.77842903137207,17.923405170440674
25.567887544631958,42.263813734054565,43.32203006744385,1.0582163333892822,47,-422.25625963131114,28,0,11.323813557666597,0.998601536449711,polydec,16.695926189422607,17.75414252281189
26.224990129470825,43.32299733161926,44.36472845077515,1.0417311191558838,47,-417.27463517506754,28,0,11.323813557666597,0.998601536449711,polydec,17.098007202148438,18.13973832130432
26.642930269241333,44.36567401885986,45.430845499038696,1.065171480178833,47,-407.1192116891991,28,0,11.323813557666597,0.998601536449711,polydec,17.72274374961853,18.787915229797363
27.097241401672363,45.431814193725586,46.47251534461975,1.040701150894165,47,-433.81910885138024,27,0,11.323813557666597,0.998601536449711,polydec,18.334572792053223,19.375273942947388
27.175114631652832,46.473461866378784,47.53143858909607,1.0579767227172852,48,-417.1380376541011,26,0,12.434030190356872,0.999735240123794,polydec,19.298347234725952,20.356323957443237
