fold,steps,mae_no_exit,validity_no_exit,num_valids_no_exit
22,55,tensor(43.7354),0.8046875,104
22,70,tensor(52.8166),0.8125,111
22,85,tensor(42.5072),0.796875,104
22,100,tensor(40.3711),0.8359375,105
23,10,tensor(37.6590),0.265625,34
23,25,tensor(38.3420),0.71875,93
23,40,tensor(58.5625),0.7734375,98
23,55,tensor(36.4490),0.7890625,102
23,70,tensor(49.8251),0.8359375,109
23,85,tensor(45.0112),0.8359375,106
23,100,tensor(45.1170),0.828125,105
24,10,tensor(44.5221),0.34375,43
24,25,tensor(70.8428),0.5234375,74
24,40,tensor(47.8845),0.7578125,101
24,55,tensor(44.3812),0.8359375,106
24,70,tensor(61.4773),0.796875,105
24,85,tensor(38.4645),0.890625,111
24,100,tensor(47.2341),0.8125,105
25,10,tensor(62.2276),0.25,28
25,25,tensor(53.4083),0.6328125,83
25,40,tensor(46.1878),0.71875,95
25,55,tensor(43.2227),0.828125,109
25,70,tensor(40.1980),0.8125,105
25,85,tensor(47.8089),0.8515625,112
25,100,tensor(43.6256),0.8671875,117
