num_steps,distortion,eta,omega,pred_score
5,polydec,0.007393001777444397,0.9370832628998979,27.88669411079804
6,polydec,0.0032857461103787955,0.9288176879022223,32.274134907320004
7,polydec,0.050220185048402755,0.9229381197929403,36.557509692935504
8,polydec,0.01400206084997535,0.9214010388437756,40.98771363916313
9,polydec,0.0650920287198744,0.916436325576622,45.28414252344293
10,polydec,0.021779510736479324,0.914658011173949,49.6994691878253
11,polydec,0.006893295071861871,0.9088883930313769,54.093220179292246
12,polydec,0.05062720878449056,0.9053662741841494,58.231797810219774
13,polydec,0.011437339311314076,0.8246102876564061,61.738124427906804
14,polydec,0.07538696669786304,0.9982450261261249,64.92869499459616
15,polydec,0.013082804838873585,1.0,68.14150116761373
16,polydec,0.013997076266122122,0.8382696079958971,71.06527390772584
17,polydec,0.07183100796700614,0.8500596603675724,73.64909259216898
18,polydec,0.11250086788844271,0.8592523233160776,75.92596259253014
19,polydec,0.026111933107259233,0.9508217403753835,78.02582252215461
20,polydec,0.011382991652894248,0.860859958357566,79.55062009011625
21,polydec,0.11871391889273752,0.8621900573032627,80.70241104491363
22,polydec,0.009162496080719507,0.9100185480993135,81.45161450715705
23,polydec,0.08788652029315358,0.949759061760546,82.20380005187577
24,polydec,0.16228618048477017,0.9788699097792024,82.83894714207077
25,polydec,0.4694975572959379,1.0,83.43849463967678
26,polydec,0.08283433934191464,0.9486723132050469,84.05406861351928
27,polydec,0.08594730974766662,0.9957623100168764,84.50176784233619
28,polydec,0.025652170785505746,1.0,84.88697954246688
29,polydec,1.9284047000937363,0.9973538897866017,85.10199869898324
30,polydec,0.5042300766111794,0.6825383908585742,85.44985388440672
31,polydec,0.24203535318022773,0.6313089964581011,85.79537587725721
32,polydec,0.048740674748103174,0.5931822233422863,86.13075591168582
33,polydec,0.4327635829502867,0.5158542922189244,86.3436225876185
34,polydec,0.0794623881838703,0.5508342647635097,86.52541148651675
35,polydec,0.6429595659958807,0.5694329761343313,86.62328175340478
36,polydec,0.9799610277078443,0.5343609466534669,86.79233848870115
37,polydec,1.5421479421931537,0.51420396624305,86.8178884867739
38,polydec,0.2643898965162208,0.5636949885959661,86.99036402518641
39,polydec,4.035356425239016,0.5677115521255052,86.98573980617125
40,polydec,1.1387357797052573,0.5791193326385587,87.12689996474859
41,polydec,0.7996500854942923,0.5969589190720641,87.21345096806964
42,polydec,6.431690265744109,0.56912775727608,87.18927839693758
43,polydec,1.700519853132434,0.6192340343835313,87.3517277664621
44,polydec,3.0816812788118284,0.6190373998989221,87.4025018117232
45,polydec,1.9830969333721953,1.0,87.46755745856852
46,polydec,3.2060293916235025,1.0,87.538273406501
47,polydec,1.0861281281568722,0.6188628642953461,87.58742171316203
48,polydec,4.31574459089525,0.5681447599609148,87.54515652538244
49,polydec,0.22932639816073674,0.6481291896568677,87.75202356327026
50,polydec,12.394177330151393,0.6957291981147873,87.63367595077956
51,polydec,4.67053873741385,1.0,88.0741627633123
52,polydec,2.1594331851487567,0.7196054764265657,88.07630788155569
53,polydec,1.4723069230916366,0.9622889884008766,88.36854058597547
54,polydec,5.828000745211256,0.9615938410119136,88.32160767444255
55,polydec,0.25470265169497,0.9507411139411577,88.62234856704015
56,polydec,5.8412672568885995,0.9577539327934536,88.55211250983483
57,polydec,0.27425348336072375,0.8150460692881647,88.45432791381579
58,polydec,0.47007012804753856,0.7718724050324819,88.51918076165089
59,polydec,39.779223837411664,0.9969428480352196,88.7997823069962
60,polydec,35.91200704686804,0.9997688911317288,88.77938193131492
61,polydec,37.57623748695178,0.9638280653230306,88.8336035597497
62,polydec,8.470297727526358,0.9014398399763366,88.76924131150038
63,polydec,1.8421128721265774,0.8468962473346033,88.81822965458569
64,polydec,54.84179754964852,0.5261481921199191,88.77918984116333
65,polydec,46.13687413352443,0.9906186302250829,89.26537804648706
66,polydec,61.161704635029515,0.48637962521773415,88.97176925373394
67,polydec,40.002136740193194,0.6696229647785514,89.04412499564341
68,polydec,62.75460928404533,0.9571836120589288,89.1413701329092
69,polydec,41.18637176076777,0.9157219472087239,89.22953683527535
70,polydec,69.56188618477105,0.26236288141927444,89.21057278525718
71,polydec,74.48727098637353,0.2619415166858509,89.37079805870597
72,polydec,46.882180662541074,0.9328066291655319,89.55391619468108
73,polydec,69.16442903255778,0.9787502426175965,89.40880312866366
74,polydec,53.82079415120991,0.7956330992761399,89.3470223846467
75,polydec,57.05720555854522,0.9088110101805431,89.60578053561098
76,polydec,62.65549423469069,0.9633793653924227,89.60985391771058
77,polydec,57.42259418731935,0.9754329163434823,89.73476338332397
78,polydec,54.51453541922487,0.9036422325091884,89.79144403342059
79,polydec,54.687874392961106,0.9827831036356939,89.68180807742162
80,polydec,79.13985614764289,0.9498419127263722,89.58053038557973
81,polydec,52.718355451114846,0.8689490742793253,89.75439807561354
82,polydec,76.70232938783398,0.9616967700822429,89.78550061688352
83,polydec,77.85826985428454,0.9686759975339645,89.8159345237931
84,polydec,77.52535324257802,0.8939314418879175,89.79798580743335
85,polydec,64.22540040117688,0.7808851829777962,89.77345047371536
86,polydec,69.70404503178335,0.9093086730347365,89.9038897262014
