fold,steps,mae_early_exit,validity_early_exit,execution_time_sec
1,10,44.53434371948242,0.6875,1.1655251514166594
1,25,33.52250289916992,0.96875,2.2402732521295547
1,40,34.37607955932617,0.984375,2.141307506710291
1,55,32.81682205200195,1.0,2.9660135246813297
1,70,36.332923889160156,0.9921875,6.5547215193510056
1,85,30.518129348754883,1.0,7.82841857150197
1,100,22.788230895996094,1.0,9.095059163868427
2,10,40.9201886653900144,0.703125,1.3883978556841612
2,10,49.68418502807617,0.65625,1.7985133435577154
2,25,35.24593734741211,0.9765625,2.0836354326456785
2,40,32.429203033447266,0.96875,2.62450953386724
2,55,32.69910430908203,0.9921875,2.7930405288934708
2,70,35.86088943481445,0.9921875,6.452452419325709
2,85,27.540515899658203,0.9921875,7.756312120705843
3,10,52.35676956176758,0.671875,1.5752991791814566
3,25,30.87470626831055,0.96875,3.388049401342869
3,40,29.991439819335938,0.9609375,2.8313372246921062
3,55,28.217933654785156,1.0,2.6573501490056515
3,70,43.778564453125,1.0,6.283799106255174
3,85,28.81635856628418,1.0,6.974239034578204
3,100,29.64574432373047,0.9921875,8.551937269046903
4,10,49.95843505859375,0.671875,1.830622537061572
4,25,36.956634521484375,0.9921875,3.0932889860123396
4,40,36.54618835449219,0.984375,3.165490387007594
4,55,23.589149475097656,1.0,2.8706174474209547
4,70,34.121177673339844,0.984375,5.76146643795073
4,85,30.660907745361328,1.0,6.8500725738704205
4,100,22.146692276000977,1.0,8.81206282041967
5,10,61.20692443847656,0.765625,1.3732845690101385
5,25,40.00504684448242,0.9765625,3.9965019654482603
5,40,21.985868453979492,0.9609375,3.2048073578625917
5,55,29.313079833984375,1.0,2.9491409957408905
5,70,32.86738586425781,1.0,7.127704216167331
5,85,42.15313720703125,1.0,7.237674852833152
5,100,30.25927734375,1.0,9.967489305883646
6,10,45.168148040771484,0.671875,1.9519487749785185
6,25,36.85343551635742,0.9921875,4.558396367356181
6,40,38.28801727294922,0.96875,2.600385094061494
6,55,29.11856460571289,1.0,3.0049364119768143
6,70,39.27952194213867,0.984375,7.615199847146869
6,85,24.168212890625,0.9921875,7.52559070661664
6,100,22.870025634765625,1.0,10.85602249018848
7,10,45.77751922607422,0.65625,1.7190095111727715
7,25,39.77761459350586,0.953125,2.9110043589025736
7,40,42.27899169921875,0.9765625,2.332141214981675
7,55,32.45709991455078,1.0,3.168330179527402
7,70,32.527442932128906,0.9765625,7.525115633383393
7,85,36.65517807006836,0.984375,7.70278943516314
7,100,31.559961318969727,1.0,11.12807564996183
7,10,54.021217346191406,0.6875,2.091187585145235
8,25,33.623191833496094,0.9921875,4.40533603541553
8,40,39.12165832519531,0.953125,3.4554265793412924
8,55,51.07292556762695,0.9921875,3.0288748051971197
8,70,42.204322814941406,1.0,8.292740439996123
8,85,34.18091583251953,1.0,7.844428481534123
8,100,27.081226348876953,1.0,9.0387630071491
9,10,61.34490203857422,0.7109375,1.5346450358629227
9,25,39.24734115600586,0.984375,2.200009999796748
9,40,49.0308837890625,0.984375,2.8422683496028185
9,55,12.727668762207031,1.0,2.8620845656841993
9,70,38.577789306640625,0.9921875,6.750660251826048
9,85,32.52549362182617,1.0,7.928221756592393
9,100,37.13240051269531,1.0,12.492287708446383
10,10,73.59767150878906,0.7109375,1.344552956521511
10,25,29.480802536010742,0.9765625,3.167499342933297
10,40,35.835044860839844,0.96875,2.83569516800344
10,55,39.70635986328125,1.0,2.566416071727872
10,70,34.360755920410156,0.9921875,6.99482199177146
10,85,33.47263717651367,1.0,8.357499143108726
10,100,35.958267211914062,0.9921875,10.3641741219908
11,10,67.82633972167969,0.6875,1.5664459764957428
11,25,42.72597122192383,0.9765625,3.420147344470024
11,40,46.42902755737305,0.9609375,2.687359094619751
11,55,36.48847198486328,1.0,2.9285722449421883
11,70,39.84876251220703,0.984375,9.44178482145071
11,85,41.54439926147461,1.0,8.159728113561869
11,100,31.556486129760742,1.0,10.392721317708492
12,10,31.719125747680664,0.6484375,0.8306068517267704
12,25,39.757930755615234,1.0,3.0049189031124115
12,40,41.25505447387695,0.96875,2.227118719369173
12,55,33.460487365722656,1.0,2.425648730248213
12,70,42.495582580566406,1.0,6.647271484136581
12,85,18.25428009033203,0.9921875,4.6801539193838835
12,100,28.062606811523438,1.0,7.800215028226376
13,10,41.5689811706543,0.6640625,1.106885401532054
13,25,32.610502243041992,0.9609375,3.2810769081115723
13,40,34.65473937988281,0.9375,2.244532747194171
13,55,71.68962097167969,1.0,2.7157052252441645
13,70,34.53936004638672,1.0,6.955718891695142
13,85,27.17148208618164,1.0,7.000868899747729
13,100,31.06754493713379,1.0,10.507466232404113
14,10,51.28609848022461,0.75,1.9289458636194468
14,25,30.32016944885254,0.984375,2.6847783364355564
14,40,39.03704833984375,0.96875,3.585818385705352
14,55,36.25165939331055,1.0,2.9789639860391617
14,70,43.22903823852539,0.9921875,7.878629269078374
14,85,33.01337432861328,1.0,8.711725190281868
14,100,23.241117477416992,1.0,9.637573728337884
15,10,46.418636322021484,0.734375,1.0775109566748142
15,25,32.184547424316406,0.984375,3.83536110073328
15,40,37.47388458251953,0.9609375,2.5674363877624273
15,55,42.47037887573242,1.0,2.4293992035090923
15,70,32.68653869628906,0.9921875,6.137725543230772
15,85,39.94576644897461,0.9921875,5.391160493716598
15,100,28.37140655517578,1.0,9.25570292212069
