fold,steps,mae_no_exit,validity_no_exit,num_valids_no_exit
22,10,tensor(18.1090),0.390625,43
22,25,tensor(18.1865),0.7890625,106
22,40,tensor(21.1645),0.796875,108
22,55,tensor(18.8991),0.9453125,123
22,70,tensor(13.2000),0.8828125,111
22,85,tensor(11.9021),0.9375,120
22,100,tensor(15.8380),0.875,116
23,10,tensor(15.4865),0.296875,38
23,25,tensor(15.6716),0.7890625,109
23,40,tensor(18.1128),0.9140625,118
23,55,tensor(13.9606),0.8828125,116
23,70,tensor(12.4924),0.9453125,121
23,85,tensor(14.2964),0.9140625,118
23,100,tensor(15.8074),0.921875,120
24,10,tensor(17.8575),0.40625,47
24,25,tensor(12.5614),0.8046875,106
24,40,tensor(13.7611),0.8515625,116
24,55,tensor(28.2658),0.90625,115
24,70,tensor(12.1217),0.9140625,116
24,85,tensor(12.5932),0.8828125,112
24,100,tensor(13.2219),0.921875,117
25,10,tensor(28.4828),0.375,51
25,25,tensor(26.0884),0.8203125,109
25,40,tensor(12.1798),0.8046875,106
25,55,tensor(11.2686),0.90625,117
25,70,tensor(10.8017),0.890625,114
25,85,tensor(13.6503),0.921875,118
25,100,tensor(13.2421),0.9296875,123
