fold,steps,mae_no_exit,validity_no_exit,execution_time_sec,mae_early_exit,validity_early_exit
200,10,,,0.3010833263397217,,1.0
200,25,,,0.5519561767578125,,1.0
200,40,,,0.8827111721038818,,1.0
200,55,,,1.4349160194396973,,1.0
200,70,,,1.4928982257843018,,1.0
200,85,,,1.5382270812988281,,1.0
200,100,,,1.855395793914795,,1.0
201,10,,,0.4573960304260254,,1.0
201,25,,,0.5750904083251953,,1.0
201,40,,,0.770256519317627,,1.0
201,55,,,1.1469507217407227,,1.0
201,70,,,1.3361785411834717,,1.0
201,85,,,0.32085514068603516,,1.0
201,100,,,2.197817325592041,,1.0
202,10,,,0.25388073921203613,,1.0
202,25,,,0.5033047199249268,,1.0
202,40,,,0.7559411525726318,,1.0
202,55,,,1.1725788116455078,,1.0
202,70,,,1.2892146110534668,,1.0
202,85,,,1.9775137901306152,,1.0
202,100,,,2.2207679748535156,,1.0
203,10,,,0.9678113460540771,,1.0
203,25,,,0.5693264007568359,,1.0
203,40,,,0.539783239364624,,1.0
203,55,,,1.2628848552703857,,1.0
203,70,,,0.5467939376831055,,1.0
203,85,,,1.941758394241333,,1.0
203,100,,,1.3300793170928955,,1.0
204,10,,,0.13793587684631348,,1.0
204,25,,,1.1955995559692383,,1.0
204,40,,,0.9216792583465576,,1.0
204,55,,,0.9563674926757812,,1.0
204,70,,,1.5403637886047363,,1.0
204,85,,,1.7742812633514404,,1.0
204,100,,,1.6875770092010498,,1.0
205,10,,,0.29998350143432617,,1.0
205,25,,,0.5514156818389893,,1.0
205,40,,,0.9648611545562744,,1.0
205,55,,,1.2008368968963623,,1.0
205,70,,,1.2811429500579834,,1.0
205,85,,,1.7732319831848145,,1.0
205,100,,,1.7655439376831055,,1.0
206,10,,,0.2751140594482422,,1.0
206,25,,,0.6437551975250244,,1.0
206,40,,,0.6884331703186035,,1.0
206,55,,,1.076972246170044,,1.0
206,70,,,1.6224665641784668,,1.0
206,85,,,1.7622807025909424,,1.0
206,100,,,2.0414488315582275,,1.0
207,10,,,0.23110699653625488,,1.0
207,25,,,1.117774486541748,,1.0
207,40,,,0.9890978336334229,,1.0
207,55,,,1.192183494567871,,1.0
207,70,,,1.5654687881469727,,1.0
207,85,,,1.4906072616577148,,1.0
207,100,,,2.023097276687622,,1.0
208,10,,,0.2981743812561035,,1.0
208,25,,,0.5107419490814209,,1.0
208,40,,,0.7754347324371338,,1.0
208,55,,,1.2516918182373047,,1.0
208,70,,,1.495119571685791,,1.0
208,85,,,1.7266743183135986,,1.0
208,100,,,1.785881757736206,,1.0
209,10,,,0.5051431655883789,,1.0
209,25,,,0.5504720211029053,,1.0
209,40,,,0.6128745079040527,,1.0
209,55,,,1.288299322128296,,1.0
209,70,,,1.3084499835968018,,1.0
209,85,,,1.7590603828430176,,1.0
209,100,,,2.086082935333252,,1.0
210,10,,,0.9245190620422363,,1.0
210,25,,,0.5728814601898193,,1.0
210,40,,,0.8780205249786377,,1.0
210,55,,,1.1662266254425049,,1.0
210,70,,,1.411071538925171,,1.0
210,85,,,1.4932477474212646,,1.0
210,100,,,0.1852552890777588,,1.0
211,10,,,1.2161250114440918,,1.0
211,25,,,0.16082048416137695,,1.0
211,40,,,0.8490242958068848,,1.0
211,55,,,1.1068789958953857,,1.0
211,70,,,1.5403289794921875,,1.0
211,85,,,1.198646068572998,,1.0
211,100,,,2.0907444953918457,,1.0
212,10,,,0.3920605182647705,,1.0
212,25,,,0.5524449348449707,,1.0
212,40,,,0.8740406036376953,,1.0
212,55,,,0.4831531047821045,,1.0
212,70,,,1.6611614227294922,,1.0
212,85,,,1.6596918106079102,,1.0
212,100,,,0.0930628776550293,,1.0
213,10,,,0.4827706813812256,,1.0
213,25,,,0.5527408123016357,,1.0
213,40,,,0.9444880485534668,,1.0
213,55,,,1.1745691299438477,,1.0
213,70,,,0.996140718460083,,1.0
213,85,,,0.39034104347229004,,1.0
213,100,,,0.43256449699401855,,1.0
214,10,,,1.2197916507720947,,1.0
214,25,,,0.5536837577819824,,1.0
214,40,,,0.5974137783050537,,1.0
214,55,,,0.38860201835632324,,1.0
214,70,,,1.0937435626983643,,1.0
214,85,,,1.4472217559814453,,1.0
214,100,,,2.302396059036255,,1.0
215,10,,,0.13930392265319824,,1.0
215,25,,,0.5748188495635986,,1.0
215,40,,,0.9700925350189209,,1.0
215,55,,,0.562924861907959,,1.0
215,70,,,1.356309175491333,,1.0
215,85,,,0.989008903503418,,1.0
215,100,,,1.91078519821167,,1.0
216,10,,,0.5283467769622803,,1.0
216,25,,,0.5526888370513916,,1.0
216,40,,,0.09234976768493652,,1.0
216,55,,,1.3308467864990234,,1.0
216,70,,,1.4980745315551758,,1.0
216,85,,,1.8610725402832031,,1.0
216,100,,,1.421854019165039,,1.0
217,10,,,0.29943227767944336,,1.0
217,25,,,0.4357638359069824,,1.0
217,40,,,0.6872589588165283,,1.0
217,55,,,1.2654602527618408,,1.0
217,70,,,0.4109640121459961,,1.0
217,85,,,1.3884575366973877,,1.0
217,100,,,2.123781681060791,,1.0
218,10,,,0.3008460998535156,,1.0
218,25,,,0.5054073333740234,,1.0
218,40,,,0.7254660129547119,,1.0
218,55,,,1.3134524822235107,,1.0
218,70,,,1.6148724555969238,,1.0
218,85,,,1.9672949314117432,,1.0
218,100,,,1.5159499645233154,,1.0
219,10,,,0.5042259693145752,,1.0
219,25,,,1.099022388458252,,1.0
219,40,,,0.825218915939331,,1.0
219,55,,,1.327988624572754,,1.0
219,70,,,1.5807626247406006,,1.0
219,85,,,1.331777811050415,,1.0
219,100,,,1.7705514430999756,,1.0
220,10,,,0.4848325252532959,,1.0
220,25,,,0.5287215709686279,,1.0
220,40,,,0.8977506160736084,,1.0
220,55,,,1.1241636276245117,,1.0
220,70,,,1.5517385005950928,,1.0
220,85,,,1.974606990814209,,1.0
220,100,,,1.3545384407043457,,1.0
221,10,,,0.23053908348083496,,1.0
221,25,,,0.13736629486083984,,1.0
221,40,,,0.9858713150024414,,1.0
221,55,,,0.4312875270843506,,1.0
221,70,,,1.1347193717956543,,1.0
221,85,,,1.5346732139587402,,1.0
221,100,,,2.250030755996704,,1.0
222,10,,,0.277346134185791,,1.0
222,25,,,0.597383975982666,,1.0
222,40,,,0.2989163398742676,,1.0
222,55,,,1.1356852054595947,,1.0
222,70,,,1.3385872840881348,,1.0
222,85,,,1.7059638500213623,,1.0
222,100,,,2.0910227298736572,,1.0
223,10,,,0.5056242942810059,,1.0
223,25,,,0.5998060703277588,,1.0
223,40,,,1.8776817321777344,,1.0
223,55,,,1.3224468231201172,,1.0
223,70,,,1.5678012371063232,,1.0
223,85,,,0.7556462287902832,,1.0
223,100,,,1.6605501174926758,,1.0
224,10,,,0.25530147552490234,,1.0
224,25,,,0.620246171951294,,1.0
224,40,,,0.893648624420166,,1.0
224,55,,,0.6613266468048096,,1.0
224,70,,,1.6058542728424072,,1.0
224,85,,,1.7667584419250488,,1.0
224,100,,,2.2294962406158447,,1.0
225,10,,,0.30231475830078125,,1.0
225,25,,,0.627507209777832,,1.0
225,40,,,0.9008958339691162,,1.0
225,55,,,1.0199856758117676,,1.0
225,70,,,1.2980482578277588,,1.0
225,85,,,1.252284049987793,,1.0
225,100,,,1.4445061683654785,,1.0
226,10,,,0.3004648685455322,,1.0
226,25,,,0.6262011528015137,,1.0
226,40,,,0.7080650329589844,,1.0
226,55,,,1.041179895401001,,1.0
226,70,,,1.032874345779419,,1.0
226,85,,,1.7226779460906982,,1.0
226,100,,,1.1873033046722412,,1.0
227,10,,,0.6876039505004883,,1.0
227,25,,,0.5288491249084473,,1.0
227,40,,,0.38532233238220215,,1.0
227,55,,,1.2885010242462158,,1.0
227,70,,,1.4919633865356445,,1.0
227,85,,,1.7796900272369385,,1.0
227,100,,,1.9961416721343994,,1.0
228,10,,,0.25621914863586426,,1.0
228,25,,,0.533545732498169,,1.0
228,40,,,0.6001689434051514,,1.0
228,55,,,0.4313342571258545,,1.0
228,70,,,1.609576940536499,,1.0
228,85,,,1.718482255935669,,1.0
228,100,,,2.015070676803589,,1.0
229,10,,,0.5249416828155518,,1.0
229,25,,,1.12711763381958,,1.0
229,40,,,0.9063634872436523,,1.0
229,55,,,0.8755686283111572,,1.0
229,70,,,0.4792490005493164,,1.0
229,85,,,1.5850400924682617,,1.0
229,100,,,2.1174521446228027,,1.0
230,10,,,0.46039867401123047,,1.0
230,25,,,0.6210849285125732,,1.0
230,40,,,0.8049964904785156,,1.0
230,55,,,1.1628828048706055,,1.0
230,70,,,1.685434103012085,,1.0
230,85,,,1.814535140991211,,1.0
230,100,,,1.7941224575042725,,1.0
231,10,,,1.9037365913391113,,1.0
231,25,,,0.6125121116638184,,1.0
231,40,,,1.0880963802337646,,1.0
231,55,,,1.3325059413909912,,1.0
231,70,,,1.6287763118743896,,1.0
231,85,,,1.3352067470550537,,1.0
231,100,,,1.4531893730163574,,1.0
232,10,,,0.8768458366394043,,1.0
232,25,,,2.126462459564209,,1.0
232,40,,,0.6446783542633057,,1.0
232,55,,,0.7295675277709961,,1.0
232,70,,,1.4704561233520508,,1.0
232,85,,,1.6369283199310303,,1.0
232,100,,,2.3657705783843994,,1.0
233,10,,,0.7617042064666748,,1.0
233,25,,,0.48100709915161133,,1.0
233,40,,,0.6666998863220215,,1.0
233,55,,,1.1045176982879639,,1.0
233,70,,,0.49890637397766113,,1.0
233,85,,,1.6718404293060303,,1.0
233,100,,,2.3617334365844727,,1.0
234,10,,,0.2987236976623535,,1.0
234,25,,,0.5070509910583496,,1.0
234,40,,,0.8437609672546387,,1.0
234,55,,,1.287032127380371,,1.0
234,70,,,0.7088413238525391,,1.0
234,85,,,1.623483419418335,,1.0
234,100,,,1.8827824592590332,,1.0
235,10,,,0.5295541286468506,,1.0
235,25,,,0.6335816383361816,,1.0
235,40,,,0.9315118789672852,,1.0
235,55,,,1.2856314182281494,,1.0
235,70,,,1.197737455368042,,1.0
235,85,,,1.5399503707885742,,1.0
235,100,,,1.9797825813293457,,1.0
236,10,,,0.29764533042907715,,1.0
236,25,,,0.5076174736022949,,1.0
236,40,,,0.8528804779052734,,1.0
236,55,,,1.107421875,,1.0
236,70,,,0.25212907791137695,,1.0
236,85,,,0.8683915138244629,,1.0
236,100,,,2.1189212799072266,,1.0
237,10,,,1.2223000526428223,,1.0
237,25,,,0.6437437534332275,,1.0
237,40,,,0.9918022155761719,,1.0
237,55,,,0.2312462329864502,,1.0
237,70,,,0.3458073139190674,,1.0
237,85,,,1.8254079818725586,,1.0
237,100,,,1.5167701244354248,,1.0
238,10,,,0.2780461311340332,,1.0
238,25,,,0.3442962169647217,,1.0
238,40,,,0.9873120784759521,,1.0
238,55,,,0.8742477893829346,,1.0
238,70,,,1.4655201435089111,,1.0
238,85,,,0.5017030239105225,,1.0
238,100,,,2.357203960418701,,1.0
239,10,,,0.2759881019592285,,1.0
239,25,,,0.641566276550293,,1.0
239,40,,,0.9130077362060547,,1.0
239,55,,,1.062652587890625,,1.0
239,70,,,1.4372813701629639,,1.0
239,85,,,1.6458821296691895,,1.0
239,100,,,2.291928768157959,,1.0
240,10,,,0.7597651481628418,,1.0
240,25,,,0.6181168556213379,,1.0
240,40,,,1.7350006103515625,,1.0
240,55,,,0.503023624420166,,1.0
240,70,,,0.9137294292449951,,1.0
240,85,,,2.008133888244629,,1.0
240,100,,,1.3529462814331055,,1.0
241,10,,,0.2764873504638672,,1.0
241,25,,,0.553621768951416,,1.0
241,40,,,0.6455976963043213,,1.0
241,55,,,0.898770809173584,,1.0
241,70,,,1.4066948890686035,,1.0
241,85,,,1.4474711418151855,,1.0
241,100,,,1.507549524307251,,1.0
242,10,,,1.0363783836364746,,1.0
242,25,,,0.18324494361877441,,1.0
242,40,,,0.3871781826019287,,1.0
242,55,,,1.2178521156311035,,1.0
242,70,,,1.6045913696289062,,1.0
242,85,,,0.4783921241760254,,1.0
242,100,,,2.221611738204956,,1.0
243,10,,,0.2970468997955322,,1.0
243,25,,,1.0024094581604004,,1.0
243,40,,,0.7782895565032959,,1.0
243,55,,,1.1702628135681152,,1.0
243,70,,,0.22929692268371582,,1.0
243,85,,,2.0152645111083984,,1.0
243,100,,,2.2616214752197266,,1.0
244,10,,,0.2983105182647705,,1.0
244,25,,,0.6196634769439697,,1.0
244,40,,,0.4132204055786133,,1.0
244,55,,,0.769395112991333,,1.0
244,70,,,1.2380013465881348,,1.0
244,85,,,1.5733907222747803,,1.0
244,100,,,1.8580653667449951,,1.0
245,10,,,0.27626585960388184,,1.0
245,25,,,0.5089123249053955,,1.0
245,40,,,0.9114398956298828,,1.0
245,55,,,0.665062427520752,,1.0
245,70,,,1.2423725128173828,,1.0
245,85,,,1.443152904510498,,1.0
245,100,,,2.338778495788574,,1.0
246,10,,,0.5279378890991211,,1.0
246,25,,,0.8950121402740479,,1.0
246,40,,,0.9304533004760742,,1.0
246,55,,,0.9541676044464111,,1.0
246,70,,,1.6708779335021973,,1.0
246,85,,,1.16953444480896,,1.0
246,100,,,1.852318286895752,,1.0
247,10,,,0.2137281894683838,,1.0
247,25,,,0.6159703731536865,,1.0
247,40,,,0.9470446109771729,,1.0
247,55,,,1.1095545291900635,,1.0
247,70,,,1.5409293174743652,,1.0
247,85,,,1.670785665512085,,1.0
247,100,,,1.947850227355957,,1.0
248,10,,,0.27698254585266113,,1.0
248,25,,,0.6238248348236084,,1.0
248,40,,,0.6652798652648926,,1.0
248,55,,,1.0687494277954102,,1.0
248,70,,,1.5227818489074707,,1.0
248,85,,,1.884913444519043,,1.0
248,100,,,1.3858609199523926,,1.0
249,10,,,0.2990880012512207,,1.0
249,25,,,0.6368067264556885,,1.0
249,40,,,0.9392986297607422,,1.0
249,55,,,0.541409969329834,,1.0
249,70,,,1.2675812244415283,,1.0
249,85,,,1.4028620719909668,,1.0
249,100,,,1.6567163467407227,,1.0
250,10,,,0.5070536136627197,,1.0
250,25,,,1.1465272903442383,,1.0
250,40,,,0.6833014488220215,,1.0
250,55,,,0.7775077819824219,,1.0
250,70,,,1.2185163497924805,,1.0
250,85,,,1.42063570022583,,1.0
250,100,,,1.6561710834503174,,1.0
251,10,,,0.4017665386199951,,1.0
251,25,,,0.5516867637634277,,1.0
251,40,,,0.7731921672821045,,1.0
251,55,,,0.9855365753173828,,1.0
251,70,,,1.2630243301391602,,1.0
251,85,,,1.3064615726470947,,1.0
251,100,,,1.819916009902954,,1.0
252,10,,,0.7536957263946533,,1.0
252,25,,,0.5539562702178955,,1.0
252,40,,,0.6380069255828857,,1.0
252,55,,,1.194401502609253,,1.0
252,70,,,1.5405335426330566,,1.0
252,85,,,1.5045719146728516,,1.0
252,100,,,1.7401549816131592,,1.0
253,10,,,0.4865884780883789,,1.0
253,25,,,1.188831090927124,,1.0
253,40,,,0.6662743091583252,,1.0
253,55,,,0.5509419441223145,,1.0
253,70,,,0.341778039932251,,1.0
253,85,,,1.513085126876831,,1.0
253,100,,,2.2963836193084717,,1.0
254,10,,,0.3002052307128906,,1.0
254,25,,,0.6197192668914795,,1.0
254,40,,,0.6817052364349365,,1.0
254,55,,,0.6366860866546631,,1.0
254,70,,,1.542067289352417,,1.0
254,85,,,1.9788331985473633,,1.0
254,100,,,2.1452317237854004,,1.0
255,10,,,0.2977588176727295,,1.0
255,25,,,0.5436325073242188,,1.0
255,40,,,0.9616749286651611,,1.0
255,55,,,0.8163201808929443,,1.0
255,70,,,1.1190533638000488,,1.0
255,85,,,0.8142406940460205,,1.0
255,100,,,1.9741287231445312,,1.0
256,10,,,0.29544544219970703,,1.0
256,25,,,0.484450101852417,,1.0
256,40,,,0.917630672454834,,1.0
256,55,,,1.2876625061035156,,1.0
256,70,,,1.3896286487579346,,1.0
256,85,,,1.4713444709777832,,1.0
256,100,,,2.355382204055786,,1.0
257,10,,,0.11811614036560059,,1.0
257,25,,,0.5283472537994385,,1.0
257,40,,,0.8928751945495605,,1.0
257,55,,,0.8489291667938232,,1.0
257,70,,,0.570775032043457,,1.0
257,85,,,2.015369415283203,,1.0
257,100,,,2.0469932556152344,,1.0
258,10,,,0.5038387775421143,,1.0
258,25,,,0.9413840770721436,,1.0
258,40,,,1.8674988746643066,,1.0
258,55,,,1.283367395401001,,1.0
258,70,,,1.4401578903198242,,1.0
258,85,,,1.8992066383361816,,1.0
258,100,,,2.2571628093719482,,1.0
259,10,,,0.2557718753814697,,1.0
