fold,steps,mae_exit,validity_exit,execution_time_sec,mae_early_exit,validity_early_exit
200,10,,,0.5789339542388916,,1.0
200,25,,,0.36942386627197266,,1.0
200,40,,,0.4828071594238281,,1.0
200,55,,,0.3207259178161621,,1.0
200,70,,,1.3826780319213867,,1.0
200,85,,,1.7409324645996094,,1.0
200,100,,,2.0365028381347656,,1.0
201,10,,,0.14023590087890625,,1.0
201,25,,,0.20673656463623047,,1.0
201,40,,,0.804828405380249,,1.0
201,55,,,0.94386887550354,,1.0
201,70,,,1.153367519378662,,1.0
201,85,,,1.239537000656128,,1.0
201,100,,,0.7757492065429688,,1.0
202,10,,,0.4101862907409668,,1.0
202,25,,,0.5529446601867676,,1.0
202,40,,,0.7132863998413086,,1.0
202,55,,,1.0415401458740234,,1.0
202,70,,,0.6389901638031006,,1.0
202,85,,,1.4906744956970215,,1.0
202,100,,,1.7350146770477295,,1.0
203,10,,,0.21023988723754883,,1.0
203,25,,,0.48113393783569336,,1.0
203,40,,,0.909106969833374,,1.0
203,55,,,0.4394557476043701,,1.0
203,70,,,1.2442586421966553,,1.0
203,85,,,1.4670143127441406,,1.0
203,100,,,1.7665183544158936,,1.0
204,10,,,0.7163081169128418,,1.0
204,25,,,0.43671298027038574,,1.0
204,40,,,1.104537010192871,,1.0
204,55,,,1.1905851364135742,,1.0
204,70,,,1.3526976108551025,,1.0
204,85,,,1.7387592792510986,,1.0
204,100,,,1.9678423404693604,,1.0
205,10,,,0.5061900615692139,,1.0
205,25,,,0.6491489410400391,,1.0
205,40,,,0.7618141174316406,,1.0
205,55,,,1.0857510566711426,,1.0
205,70,,,2.974893808364868,,1.0
205,85,,,0.9532995223999023,,1.0
205,100,,,1.512902021408081,,1.0
206,10,,,0.20670294761657715,,1.0
206,25,,,0.27553439140319824,,1.0
206,40,,,0.3667616844177246,,1.0
206,55,,,0.7779603004455566,,1.0
206,70,,,1.2821884155273438,,1.0
206,85,,,1.504387378692627,,1.0
206,100,,,1.7590482234954834,,1.0
207,10,,,0.11793684959411621,,1.0
207,25,,,0.3923037052154541,,1.0
207,40,,,0.8252458572387695,,1.0
207,55,,,0.8246304988861084,,1.0
207,70,,,1.2944045066833496,,1.0
207,85,,,1.188129186630249,,1.0
207,100,,,1.9229846000671387,,1.0
208,10,,,0.25530314445495605,,1.0
208,25,,,0.09370088577270508,,1.0
208,40,,,0.5284421443939209,,1.0
208,55,,,0.7678220272064209,,1.0
208,70,,,1.2611925601959229,,1.0
208,85,,,1.4140331745147705,,1.0
208,100,,,1.9006702899932861,,1.0
209,10,,,0.2300856113433838,,1.0
209,25,,,0.4799375534057617,,1.0
209,40,,,0.7319552898406982,,1.0
209,55,,,0.5976243019104004,,1.0
209,70,,,0.9076700210571289,,1.0
209,85,,,1.3490450382232666,,1.0
209,100,,,1.9001381397247314,,1.0
210,10,,,0.2062842845916748,,1.0
210,25,,,0.3211534023284912,,1.0
210,40,,,0.16078662872314453,,1.0
210,55,,,0.524895191192627,,1.0
210,70,,,1.3637752532958984,,1.0
210,85,,,1.4455783367156982,,1.0
210,100,,,1.9115281105041504,,1.0
211,10,,,0.346693754196167,,1.0
211,25,,,0.3663785457611084,,1.0
211,40,,,0.7559323310852051,,1.0
211,55,,,1.178943395614624,,1.0
211,70,,,0.6587927341461182,,1.0
211,85,,,1.2907862663269043,,1.0
