steps,run_index,condition_value,execution_time_sec,mae,validity
70,0,-412.6403868122687,2.1322550773620605,,1.0
70,1,-410.7197253449181,1.6823673248291016,,1.0
70,2,-454.36135130127303,1.6338651180267334,,1.0
70,3,-359.1093162069891,1.7732508182525635,,1.0
70,4,-365.95414502319596,1.6311376094818115,,1.0
70,5,-409.37488906996487,1.6399857997894287,,1.0
70,6,-355.5636115221025,1.649489402770996,,1.0
70,7,-433.97927293535497,1.6283600330352783,,1.0
70,8,-359.9405665942098,1.6513469219207764,,1.0
70,9,-359.5733054592585,3.1704862117767334,,1.0
70,10,-393.0944991577876,1.6308794021606445,,1.0
70,11,-442.91087584793144,1.6524832248687744,,1.0
70,12,-375.1259036359839,1.61622953414917,,1.0
70,13,-408.86044665355655,1.6353363990783691,,1.0
70,14,-430.4231201446763,1.6690685749053955,,1.0
70,15,-406.77911153713865,1.620499849319458,,1.0
70,16,-422.51984888535617,1.7403841018676758,,1.0
70,17,-406.7090000326546,1.644881248474121,,1.0
70,18,-378.32401046135794,1.6126389503479004,,1.0
70,19,-431.2101304494526,1.6367018222808838,,1.0
70,20,-424.1974204364245,1.6250841617584229,,1.0
70,21,-434.0473473914996,4.764333724975586,,1.0
70,22,-427.1761086563179,1.6448283195495605,,1.0
70,23,-374.07107004073407,1.6421825885772705,,1.0
70,24,-369.04852605422315,1.6233344078063965,,1.0
70,25,-412.6553894301654,1.640275239944458,,1.0
70,26,-376.00717989205134,1.6123325824737549,,1.0
70,27,-358.0262188865267,1.6376025676727295,,1.0
70,28,-373.99364778694013,1.639427900314331,,1.0
70,29,-354.2601297819393,1.6099615097045898,,1.0
70,30,-355.2223760695137,1.759645700454712,,1.0
70,31,-449.6592025654126,1.6327788829803467,,1.0
70,32,-375.0753100192084,1.6445775032043457,,1.0
70,33,-405.1113044635088,3.188138961791992,,1.0
70,34,-385.5117244516169,3.1689422130584717,,1.0
70,35,-394.0619374532348,1.6372053623199463,,1.0
70,36,-369.27804600231696,1.6369709968566895,,1.0
70,37,-370.48179446321456,1.635357141494751,,1.0
70,38,-404.6333739856568,1.6182737350463867,,1.0
70,39,-414.20092089964527,1.6340198516845703,,1.0
